,timing,timedelta_sec,timedelta_sec,timedelta_sec,timedelta_sec,timedelta_sec,delta_similarity,delta_similarity,delta_similarity,delta_similarity,timedelta_sec_mean
,<lambda>,mean,std,min,max,count,mean,std,min,max,
date,,,,,,,,,,,
2023-01-25,"{'late': 13, 'on_time': 12}",312.0,305.9411708155671,0.0,600.0,25,0.27202147,0.68406206,-1.5782409,0.9594898,143.1818181818182
2023-01-27,"{'on_time': 20, 'late': 9}",186.20689655172413,282.494169258455,0.0,600.0,29,-2.0576856,7.397263,-38.490685,0.95564353,143.1818181818182
2023-03-02,"{'on_time': 21, 'late': 7}",150.0,264.5751311064591,0.0,600.0,28,-1.6372213,3.8725486,-14.279995,0.985777,143.1818181818182
2024-10-19,"{'on_time': 13, 'late': 8}",228.57142857142858,298.56801091687163,0.0,600.0,21,-2.7709703,10.711534,-48.69998,0.90818787,143.1818181818182
2024-10-25,"{'on_time': 18, 'late': 5}",130.43478260869566,253.04470070198994,0.0,600.0,23,-0.83543926,5.7223372,-27.064854,0.8460541,143.1818181818182
2024-10-30,"{'on_time': 24, 'late': 2}",46.15384615384615,163.04789291682178,0.0,600.0,26,-0.70248973,2.8208945,-10.292317,0.97795296,143.1818181818182
2024-11-03,"{'on_time': 16, 'late': 6}",163.63636363636363,273.50538350313104,0.0,600.0,22,-0.62708205,3.08237,-12.913278,0.9811884,143.1818181818182
2024-11-08,"{'on_time': 28, 'late': 1}",20.689655172413794,111.41720290623111,0.0,600.0,29,0.45555153,0.46115282,-1.3303468,0.9511528,143.1818181818182
2024-11-09,"{'on_time': 10, 'late': 5}",200.0,292.77002188456,0.0,600.0,15,-1.3202128,4.66534,-14.110032,0.83470345,143.1818181818182
2024-11-16,"{'on_time': 20, 'late': 3}",78.26086956521739,206.61013294505457,0.0,600.0,23,-3.3981764,12.935283,-61.973206,0.8778711,143.1818181818182
2024-12-26,"{'on_time': 19, 'late': 4}",104.34782608695652,232.53203272895388,0.0,600.0,23,-0.17781194,1.1674738,-3.6517668,0.91111815,143.1818181818182
